track_id,type,plate,time,image
45,No Helmet,,2026-03-29 21:24:58,V_45_No_Helmet_1774799698731.jpg
46,No Helmet,,2026-03-29 21:25:00,V_46_No_Helmet_1774799700883.jpg
51,No Helmet,,2026-03-29 21:25:27,V_51_No_Helmet_1774799727393.jpg
54,No Helmet,,2026-03-29 21:25:38,V_54_No_Helmet_1774799738820.jpg
65,No Helmet,,2026-03-29 21:26:06,V_65_No_Helmet_1774799766410.jpg
72,Speeding,,2026-03-29 21:27:06,V_72_Speeding_1774799826426.jpg
65,Speeding,,2026-03-29 21:27:12,V_65_Speeding_1774799832834.jpg
92,No Helmet,,2026-03-29 21:28:54,V_92_No_Helmet_1774799934252.jpg
92,Speeding,,2026-03-29 21:28:59,V_92_Speeding_1774799939399.jpg
94,Speeding,,2026-03-29 21:29:21,V_94_Speeding_1774799961607.jpg
101,No Helmet,,2026-03-29 21:30:01,V_101_No_Helmet_1774800001960.jpg
94,No Helmet,,2026-03-29 21:30:20,V_94_No_Helmet_1774800020158.jpg
107,No Helmet,,2026-03-29 21:30:24,V_107_No_Helmet_1774800024147.jpg
107,Speeding,,2026-03-29 21:30:28,V_107_Speeding_1774800028485.jpg
183,No Helmet,,2026-03-29 21:34:44,V_183_No_Helmet_1774800284179.jpg
183,Speeding,,2026-03-29 21:34:48,V_183_Speeding_1774800288460.jpg
215,Speeding,,2026-03-29 21:36:41,V_215_Speeding_1774800401151.jpg
258,Speeding,,2026-03-29 21:38:37,V_258_Speeding_1774800517318.jpg
258,No Helmet,,2026-03-29 21:38:44,V_258_No_Helmet_1774800524574.jpg
312,Speeding,,2026-03-29 21:41:44,V_312_Speeding_1774800704230.jpg
38,No Helmet,,2026-03-29 22:43:05,V_38_No_Helmet_1774804385776.jpg
39,No Helmet,,2026-03-29 22:43:06,V_39_No_Helmet_1774804386958.jpg
39,Speeding,,2026-03-29 22:43:11,V_39_Speeding_1774804391349.jpg
42,No Helmet,,2026-03-29 22:43:19,V_42_No_Helmet_1774804399420.jpg
53,No Helmet,,2026-03-29 22:43:34,V_53_No_Helmet_1774804414432.jpg
59,Speeding,,2026-03-29 22:43:55,V_59_Speeding_1774804435795.jpg
76,No Helmet,,2026-03-29 22:44:28,V_76_No_Helmet_1774804468795.jpg
76,Speeding,,2026-03-29 22:44:30,V_76_Speeding_1774804470620.jpg
78,No Helmet,,2026-03-29 22:44:38,V_78_No_Helmet_1774804478572.jpg
82,No Helmet,,2026-03-29 22:44:55,V_82_No_Helmet_1774804495916.jpg
89,No Helmet,,2026-03-29 22:44:59,V_89_No_Helmet_1774804499880.jpg
163,No Helmet,,2026-03-29 22:47:23,V_163_No_Helmet_1774804643004.jpg
188,Speeding,,2026-03-29 22:48:42,V_188_Speeding_1774804722323.jpg
226,Speeding,,2026-03-29 22:51:00,V_226_Speeding_1774804860092.jpg
226,No Helmet,,2026-03-29 22:51:06,V_226_No_Helmet_1774804866896.jpg
275,Speeding,,2026-03-29 22:53:08,V_275_Speeding_1774804988622.jpg
38,No Helmet,,2026-03-31 01:56:11,V_38_No_Helmet_1774902371753.jpg
39,No Helmet,,2026-03-31 01:56:12,V_39_No_Helmet_1774902372961.jpg
39,Speeding,,2026-03-31 01:56:18,V_39_Speeding_1774902378117.jpg
42,No Helmet,,2026-03-31 01:56:26,V_42_No_Helmet_1774902386638.jpg
53,No Helmet,,2026-03-31 01:56:41,V_53_No_Helmet_1774902401437.jpg
59,Speeding,,2026-03-31 01:57:03,V_59_Speeding_1774902423628.jpg
76,No Helmet,,2026-03-31 01:57:42,V_76_No_Helmet_1774902462447.jpg
76,Speeding,,2026-03-31 01:57:44,V_76_Speeding_1774902464275.jpg
78,No Helmet,,2026-03-31 01:57:52,V_78_No_Helmet_1774902472698.jpg
82,No Helmet,,2026-03-31 01:58:10,V_82_No_Helmet_1774902490201.jpg
89,No Helmet,,2026-03-31 01:58:14,V_89_No_Helmet_1774902494201.jpg
163,No Helmet,,2026-03-31 01:59:45,V_163_No_Helmet_1774902585423.jpg
188,Speeding,,2026-03-31 02:00:26,V_188_Speeding_1774902626695.jpg
226,Speeding,,2026-03-31 02:01:38,V_226_Speeding_1774902698397.jpg
226,No Helmet,,2026-03-31 02:01:42,V_226_No_Helmet_1774902702616.jpg
275,Speeding,,2026-03-31 02:02:41,V_275_Speeding_1774902761458.jpg
